code departement,C,C_C2SNP,C_C2SP
01,10405,470,90
01,10722,480,122
01,12152,340,95
01,13079,1261,343
01,13438,1264,458
01,16170,875,333
01,23657,2452,1135
01,23704,2727,958
01,3374,286,138
01,3390,252,166
01,39918,5736,2072
01,40593,5386,2316
01,6497,371,130
01,6589,308,149
01,8036,441,77
01,8284,524,261
01,8378,479,115
01,8650,502,270
01,9409,411,177
02,11748,2145,341
02,11789,2186,394
02,11836,2150,689
02,11921,2263,602
02,14068,2327,404
02,14247,2381,504
02,2466,722,81
02,24872,7097,1293
02,24911,7038,1407
02,2525,703,122
02,25604,5125,1173
02,25734,4954,1268
02,49264,10570,2007
02,49639,10681,1760
02,7306,1930,324
02,7400,2035,278
02,9503,853,149
02,9634,951,194
03,11160,855,218
03,11514,1302,318
03,11768,1338,383
03,18400,2878,1098
03,18800,3081,1102
03,2033,76,33
03,2059,66,37
03,23263,3087,974
03,23273,2877,1068
03,31633,5018,1329
03,31746,4896,1566
03,8182,627,154
03,8247,697,140
04,15420,1861,643
04,15542,1760,694
04,21669,2705,711
04,21887,2570,835
05,11040,636,204
05,35970,3120,1032
05,36615,3073,1150
06,10126,417,106
06,10694,706,366
06,11925,398,162
06,12640,733,307
06,12854,668,294
06,13728,493,153
06,17494,672,176
06,18921,927,319
06,19100,841,370
06,20089,737,204
06,25159,1057,360
06,29430,1964,646
06,29988,1975,736
06,30551,1554,531
06,32096,1554,476
06,32581,1525,565
06,381975,38189,11188
06,385742,36594,12295
06,44602,2542,871
06,45198,2492,934
06,4675,341,127
06,49865,2629,904
06,5086,359,135
06,51381,3339,978
06,5183,293,97
06,51842,3129,1114
06,5188,251,110
06,82487,6634,2049
06,83282,6615,2233
06,85317,4175,1403
07,10104,341,86
07,11231,1563,459
07,11271,1500,457
07,16953,2147,561
07,16989,2039,633
07,7621,1104,250
07,7682,1038,351
07,9572,696,262
07,9825,1205,756
07,9929,1212,796
08,15375,3381,831
08,15469,3540,728
08,45030,10049,2770
08,45239,10505,2479
08,6237,808,231
08,6270,867,190
09,13918,2324,607
09,14122,2571,580
09,5581,744,191
09,5600,699,214
09,9437,1657,467
09,9532,1600,510
10,11366,1302,304
10,11430,1222,310
10,11665,2890,583
10,11772,2718,716
10,13492,2288,462
10,13626,2123,505
10,3108,353,185
10,3159,405,164
10,4675,622,183
10,4709,719,189
10,56241,11099,2313
10,56345,10269,2618
10,9550,852,216
11,43807,9234,2161
11,43994,8760,2510
11,49437,8237,1948
11,49967,7881,2201
11,8515,1101,355
11,8920,1135,503
11,9039,1092,535
11,9060,1673,298
11,9086,1590,347
12,10163,778,252
12,10298,1287,247
12,10321,1151,330
12,10335,775,299
12,20470,1630,537
12,21953,2093,950
13,10048,283,91
13,10158,472,81
13,10900,453,135
13,11469,389,106
13,11614,1122,214
13,11630,1140,233
13,12339,1806,370
13,12507,1673,433
13,12646,481,132
13,12918,631,209
13,13495,1157,353
13,135332,9404,2269
13,13593,1121,369
13,137050,9136,2539
13,14652,1027,375
13,14847,318,105
13,15229,944,415
13,16353,947,221
13,17245,1303,239
13,18104,4004,632
13,18447,4095,566
13,19637,4327,720
13,19691,4505,578
13,20719,588,188
13,20999,815,237
13,21059,1564,403
13,21287,1464,420
13,24337,3113,698
13,24509,2834,827
13,25020,5633,1204
13,25190,6157,1062
13,2726,276,73
13,2778,253,81
13,33604,2087,564
13,33762,1958,666
13,36082,3834,718
13,36337,3764,781
13,37648,4032,998
13,38123,3850,1061
13,39633,2718,853
13,40430,8568,2114
13,41191,9525,1890
13,41800,5313,1398
13,41919,5655,1203
13,42257,4052,866
13,42568,5217,961
13,42569,3976,1088
13,42711,5592,805
13,43656,3967,1014
13,44022,3683,1171
13,44827,4071,1098
13,45118,3965,1090
13,48374,5580,1215
13,48418,7652,1482
13,48840,5214,1304
13,49234,7459,1779
13,50988,6832,1497
13,51331,6267,1738
13,54067,19443,2903
13,54445,18173,3095
13,55717,7958,1504
13,56415,7604,1760
13,58714,7965,1651
13,58855,7562,1881
13,60695,4426,1115
13,6096,301,88
13,61531,4367,1221
13,6323,307,110
13,65245,20962,3028
13,65538,22063,2576
13,70430,6780,1503
13,71370,6550,1629
13,80038,4899,1548
13,81091,4706,1767
13,81294,25624,3549
13,82203,24525,4099
13,870459,158463,27398
13,875917,150707,31367
13,92486,18542,3477
13,93844,18106,4133
13,9956,286,94
14,10186,905,253
14,10206,851,234
