Commune;Région académique;Académie;Département
ABREST;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;ALLIER
ALLANCHE;BOURGOGNE-ET-FRANCHE-COMTE;GRENOBLE;CANTAL
AIGUILHE;BRETAGNE;LYON;HAUTE-LOIRE
AIGUEPERSE;CENTRE-VAL-DE-LOIRE;BESANCON;PUY-DE-DOME
AILHON;CORSE;DIJON;ARDECHE
ALBON;GRAND-EST;RENNES;DROME
ABONDANCE;GUADELOUPE;ORLEANS-TOURS;HAUTE SAVOIE
AGNIN;GUYANE;CORSE;ISERE
AILLON-LE-JEUNE;HAUTS-DE-FRANCE;NANCY-METZ;SAVOIE
AMBERIEU-EN-BUGEY;ILE-DE-FRANCE;REIMS;AIN
AILLEUX;LA-REUNION;STRASBOURG;LOIRE
AFFOUX;MARTINIQUE;GUADELOUPE;RHONE
ABBEVILLERS;MAYOTTE;GUYANE;DOUBS
ABONCOURT-GESINCOURT;NORMANDIE;AMIENS;HAUTE-SAONE
ABERGEMENT-LA-RONCE;NOUVELLE-AQUITAINE;LILLE;JURA
ANDELNANS;OCCITANIE;CRETEIL;TERRITOIRE DE BELFORT
AHUY;PAYS-DE-LA-LOIRE;PARIS;COTE D'OR
ALLIGNY-COSNE;PROVENCE-ALPES-COTE-D'AZUR;VERSAILLES;NIEVRE
ALLEREY-SUR-SAONE;;REUNION;SAONE-ET-LOIRE
ANCY-LE-FRANC;;MARTINIQUE;YONNE
ANDEL;;MAYOTTE;COTES D'ARMOR
ARGOL;;CAEN;FINISTERE
ACIGNE;;ROUEN;ILLE-ET-VILAINE
ALLAIRE;;BORDEAUX;MORBIHAN
ACHERES;;LIMOGES;CHER
ABONDANT;;POITIERS;EURE-ET-LOIR
AIGURANDE;;MONTPELLIER;INDRE
ABILLY;;TOULOUSE;INDRE-ET-LOIRE
ANGE;;NANTES;LOIR-ET-CHER
ADON;;AIX-MARSEILLE;LOIRET
AFA;;NICE;CORSE-DU-SUD
AGHIONE;;;HAUTE-CORSE
AFFLEVILLE;;;MEURTHE-ET-MOSELLE
AMBLY-SUR-MEUSE;;;MEUSE
ABONCOURT;;;MOSELLE
ALLARMONT;;;VOSGES
AIGLEMONT;;;ARDENNES
AILLEVILLE;;;AUBE
ANDELOT-BLANCHEVILLE;;;HAUTE-MARNE
AMBONNAY;;;MARNE
ACHENHEIM;;;BAS-RHIN
ALGOLSHEIM;;;HAUT-RHIN
ANSE-BERTRAND;;;GUADELOUPE
APATOU;;;GUYANE
ABBECOURT;;;AISNE
ABANCOURT;;;OISE
ABBEVILLE;;;SOMME
ABLAIN-SAINT-NAZAIRE;;;NORD
ACHERES-LA-FORET;;;PAS-DE-CALAIS
AUBERVILLIERS;;;SEINE-ET-MARNE
ABLON-SUR-SEINE;;;SEINE-SAINT-DENIS
PARIS  1ER ARRONDISSEMENT;;;VAL-DE-MARNE
ANGERVILLE;;;PARIS
ANTONY;;;ESSONNE
ABLEIGES;;;HAUTS-DE-SEINE
ABLIS;;;VAL-D'OISE
BRAS-PANON;;;YVELINES
BASSE-POINTE;;;LA REUNION
ACOUA;;;MARTINIQUE
ABLON;;;MAYOTTE
AGNEAUX;;;CALVADOS
ALENCON;;;MANCHE
ACQUIGNY;;;ORNE
ALLOUVILLE-BELLEFOSSE;;;EURE
ABJAT-SUR-BANDIAT;;;SEINE MARITIME
ABZAC;;;DORDOGNE
AIRE-SUR-L'ADOUR;;;GIRONDE
AGEN;;;LANDES
ABIDOS;;;LOT-ET-GARONNE
AIX;;;PYRENEES-ATLANTIQUES
AHUN;;;CORREZE
AIXE-SUR-VIENNE;;;CREUSE
AGRIS;;;HAUTE-VIENNE
AIGREFEUILLE-D'AUNIS;;;CHARENTE
AIFFRES;;;CHARENTE-MARITIME
ADRIERS;;;DEUX-SEVRES
AIGUES-VIVES;;;VIENNE
AIGALIERS;;;AUDE
ABEILHAN;;;GARD
ALBARET-SAINTE-MARIE;;;HERAULT
ALENYA;;;LOZERE
AGEN-D'AVEYRON;;;PYRENEES-ORIENTALES
AIGNAN;;;ARIEGE
AGASSAC;;;AVEYRON
ADAST;;;GERS
ALBAS;;;HAUTE-GARONNE
AIGUEFONDE;;;HAUTES-PYRENEES
ALBEFEUILLE-LAGARDE;;;LOT
ABBARETZ;;;TARN
ALLONNES;;;TARN-ET-GARONNE
AHUILLE;;;LOIRE-ATLANTIQUE
AIGNE;;;MAINE-ET-LOIRE
AIZENAY;;;MAYENNE
AIGLUN;;;SARTHE
AIX-EN-PROVENCE;;;VENDEE
ABRIES-RISTOLAS;;;ALPES-DE-HTE-PROVENCE
ALTHEN-DES-PALUDS;;;BOUCHES-DU-RHONE
ANDON;;;HAUTES-ALPES
AIGUINES;;;VAUCLUSE
;;;ALPES-MARITIMES
;;;VAR
